'freguesia','bairro','tipologia','renda','nrelementos'
'Campanhã','S. Roque da Lameira','4','[40 - 60[','2'
'Ramalde','Campinas','2','[60 - 80[','4'
'UF de Aldoar, Foz do Douro e Nevogilde','Aldoar','2','[20 - 40[','1'
'Campanhã','Monte da Bela','3','[80 - 100[','3'
'UF de Freguesias Lordelo do Ouro e Massarelos','Dr. Nuno Pinheiro Torres','3','[80 - 100[','5'
'UF de Freguesias Lordelo do Ouro e Massarelos','Dr. Nuno Pinheiro Torres','3','[60 - 80[','2'
'UF de Aldoar, Foz do Douro e Nevogilde','Fonte da Moura','3','[60 - 80[','3'
'Campanhã','Lagarteiro','2',' < 20 ','1'
'UF de Freguesias Lordelo do Ouro e Massarelos','Mouteira','4','[160 - 180[','2'
'UF de Freguesias Lordelo do Ouro e Massarelos','Dr. Nuno Pinheiro Torres','3','[80 - 100[','2'
'UF de Freguesias Lordelo do Ouro e Massarelos','Mouteira','3','[140 - 160[','1'
'UF de Freguesias Lordelo do Ouro e Massarelos','Pasteleira','2','[20 - 40[','2'
'Bonfim','Fernão de Magalhães','<= 1','[60 - 80[','1'
'Campanhã','S. Roque da Lameira','2','[60 - 80[','2'
'Campanhã','S. Roque da Lameira','<= 1','[20 - 40[','1'
'UF de Freguesias Lordelo do Ouro e Massarelos','Dr. Nuno Pinheiro Torres','3','[80 - 100[','3'
'Campanhã','Contumil','3','[20 - 40[','1'
'Campanhã','Lagarteiro','2','[60 - 80[','2'
'UF de Aldoar, Foz do Douro e Nevogilde','Fonte da Moura','3','[40 - 60[','1'
'Ramalde','Francos','2','[60 - 80[','2'
'Paranhos','Carriçal','3','[80 - 100[','2'
'UF de Freguesias Lordelo do Ouro e Massarelos','Dr. Nuno Pinheiro Torres','3',' < 20 ','2'
'Campanhã','Lagarteiro','2','[60 - 80[','2'
'UF de Aldoar, Foz do Douro e Nevogilde','Fonte da Moura','3','[20 - 40[','1'
'Campanhã','S. Roque da Lameira','3','[80 - 100[','3'
'Campanhã','Pio XII','3','[80 - 100[','2'
'UF de Freguesias Lordelo do Ouro e Massarelos','Mouteira','3','[140 - 160[','4'
'UF de Freguesias Lordelo do Ouro e Massarelos','Mouteira','3','[140 - 160[','2'
'UF de Freguesias Lordelo do Ouro e Massarelos','Mouteira','2','[100 - 120[','2'
'UF de Freguesias Lordelo do Ouro e Massarelos','Mouteira','3','[140 - 160[','4'
'UF de Freguesias Lordelo do Ouro e Massarelos','Mouteira','3','[20 - 40[','1'
'UF de Freguesias Lordelo do Ouro e Massarelos','Mouteira','4','[160 - 180[','3'
'Paranhos','Regado','<= 1',' < 20 ','1'
'UF de Aldoar, Foz do Douro e Nevogilde','Fonte da Moura','3','[80 - 100[','2'
'UF de Aldoar, Foz do Douro e Nevogilde','Fonte da Moura','3','[80 - 100[','3'
'UF de Aldoar, Foz do Douro e Nevogilde','Fonte da Moura','2','[60 - 80[','1'
'UF de Freguesias Lordelo do Ouro e Massarelos','Dr. Nuno Pinheiro Torres','4','[60 - 80[','4'
'Ramalde','Campinas','<= 1','[60 - 80[','1'
'Campanhã','Lagarteiro','2','[20 - 40[','2'
'Campanhã','S. Roque da Lameira','<= 1',' < 20 ','1'
'Ramalde','Francos','<= 1','[60 - 80[','2'
'Ramalde','Campinas','2','[20 - 40[','1'
'Campanhã','S. Roque da Lameira','3','[80 - 100[','4'
'UF de Freguesias Lordelo do Ouro e Massarelos','Pasteleira','3','[40 - 60[','3'
